fips,votes,"Percent of adults with less than a high school diploma, 2011-2015","Percent of adults with a high school diploma only, 2011-2015","Percent of adults completing some college or associate's degree, 2011-2015","Percent of adults with a bachelor's degree or higher, 2011-2015",Unemployment_rate_2015,POP_ESTIMATE_2015,Amish,Buddhist,Catholic,Christian Generic,Eastern Orthodox,Hindu,Jewish,Mainline Christian,Mormon,Muslim,Non-Catholic Christian,Other,Other Christian,Other Misc,Pentecostal / Charismatic,Protestant Denomination,Zoroastrian,MedHHInc2014,PerCapitaInc,PovertyUnder18Pct2014,PovertyAllAgesPct2014,Deep_Pov_All,Deep_Pov_Children,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units,age_total_pop,0-4_rate,5-9_rate,10-14_rate,15-19_rate,20-24_rate,25-29_rate,30-34_rate,35-39_rate,40-44_rate,45-49_rate,50-54_rate,55-59_rate,60-64_rate,65-69_rate,70-74_rate,75-79_rate,80-84_rate,85+_rate,TOT_MALE_rate,TOT_FEMALE_rate,WHITE_MALE_rate,WHITE_FEMALE_rate,BLACK_MALE_rate,BLACK_FEMALE_rate,NATIVE_AMERICAN_MALE_rate,NATIVE_AMERICAN_FEMALE_rate,ASIAN_MALE_rate,ASIAN_FEMALE_rate,HAWAIIAN_PACIFIC_MALE_rate,HAWAIIAN_PACIFIC_FEMALE_rate,MULTI_MALE_rate,MULTI_FEMALE_rate,WHITE_rate,BLACK_rate,NATIVE_AMERICAN_rate,HAWAIIAN_PACIFIC_rate,MULTI_rate,voter_turnout_rate,Democrat
18145,17935,12.8,44.1,28.3,14.8,4.4,44478,0,0,162,263,0,0,0,92,9,0,69,9,38,58,3,2,0,54831,24200,16.5,11.8,6.340421623,9.262303007,44436,19080,412.76,1.61,411.15,108.1,46.4,44478,0.058388417,0.062547776,0.062547776,0.062615226,0.059197806,0.058658213,0.056814605,0.059197806,0.063334682,0.067111831,0.081276137,0.078465758,0.065335672,0,0.036692297,0.02920545,0.018863258,0.021156527,0.494581591,0.505418409,0.47495391,0.488196412,0.006857323,0.005238545,0.00170871,0.001259049,0.004294258,0,0.00074194,0.000944287,0.006025451,0,0.963150322,0.012095868,0.002967759,0.001686227,0.006025451,0.403233059,0
18147,9959,11,43.6,30.4,15,4.1,20715,0,0,411,266,0,0,0,193,0,0,57,0,0,15,0,0,0,54468,24346,12.8,9.3,5.56096137,7.662588538,20952,8872,401.43,4.68,396.74,52.8,22.4,20715,0.056963553,0.06198407,0.06198407,0.063046102,0.054356746,0.046536326,0.054936037,0.058749698,0.059135892,0.065363263,0.080859281,0.080135168,0.069080377,0,0.044895004,0.033840212,0.021144098,0.021433744,0.507941105,0.492058895,0.495582911,0.479411055,0.005117065,0.003668839,0.001062032,0.0014965,0.001399952,0,4.83E-05,9.65E-05,0.004730871,0,0.974993966,0.008785904,0.002558532,0.000144823,0.004730871,0.480762732,0
18149,9226,17.7,42.3,28.3,11.6,5.9,22958,0,0,196,166,0,0,0,100,0,0,12,0,10,26,16,0,0,43740,20292,23.6,15.5,8.135607897,13.76585187,23363,10962,312.21,3.07,309.13,75.6,35.5,22958,0.055623312,0.063420159,0.063420159,0.063550832,0.059107936,0.056233121,0.055057061,0.05605889,0.062461887,0.062941023,0.073874031,0.078316927,0.073177106,0,0.047260214,0.032842582,0.021081976,0.014809652,0.498083457,0.501916543,0.485843715,0.490635073,0.00256991,0.001655196,0.002395679,0.002439237,0.001176061,0,0,0,0.006098092,0,0.976478787,0.004225107,0.004834916,0,0.006098092,0.401864274,0
18151,14530,10.4,38.1,31.5,20,3.9,34372,0,0,196,230,0,0,0,112,6,9,0,15,26,60,14,2,0,50078,24345,19.3,12.8,5.642106549,8.215801725,34185,19377,322.47,13.53,308.94,110.7,62.7,34372,0.053386477,0.053881066,0.053881066,0.073140929,0.073373676,0.054113814,0.051495403,0.051117188,0.060281625,0.065023857,0.07264634,0.077243105,0.073780985,0,0.045909461,0.031042709,0.019667171,0.017950658,0.507738857,0.492261143,0.491999302,0.479314558,0.005964157,0.003142092,0.001512859,0.001861981,0.003229373,0,0.000261841,0.000145467,0.004771325,0,0.97131386,0.009106249,0.00337484,0.000407308,0.004771325,0.422727802,0
18153,8559,14.3,42.1,30.4,13.2,6.2,20928,0,0,46,338,0,0,0,93,0,0,65,0,97,46,35,0,0,43933,20193,21.8,16.9,6.048811277,9.571263036,21475,8939,454.12,6.97,447.14,48,20,20928,0.052800076,0.052417813,0.052417813,0.060779817,0.064889144,0.067756116,0.068663991,0.06632263,0.070240826,0.06766055,0.072295489,0.069094037,0.063073394,0,0.042096713,0.027236239,0.02011659,0.021215596,0.543434633,0.456565367,0.490061162,0.445718654,0.044533639,0.001959098,0.001481269,0.001385703,0.001433486,0,4.78E-05,0,0.005877294,0,0.935779817,0.046492737,0.002866972,4.78E-05,0.005877294,0.408973624,0
18155,3639,15.7,46.6,28.7,9.1,4.9,10524,0,0,16,228,0,0,0,28,0,0,126,0,17,55,0,0,0,47606,19255,28.2,17.4,6.762492765,11.93745233,10613,4969,223.44,2.81,220.63,48.1,22.5,10524,0.063759027,0.074971494,0.074971494,0.064709236,0.053021665,0.051596351,0.061193463,0.05777271,0.059578107,0.069460281,0.079152414,0.071360699,0.059768149,0,0.04618016,0.032117066,0.015678449,0.014633219,0.514538198,0.485461802,0.501425314,0.47586469,0.004846066,0.001805397,0.001425314,0.001900418,0.001425314,0,0.000380084,9.50E-05,0.005036108,0,0.977290004,0.006651463,0.003325732,0.000475105,0.005036108,0.345781072,0
18157,61916,9.7,26.6,28.5,35.2,4.2,185826,0,0,232,198,0,0,2,99,10,1,14,17,24,29,20,0,0,46276,23337,20.3,22.1,12.19153865,7.865416437,172780,71096,503.24,3.44,499.81,345.7,142.2,185826,0.060341395,0.059248975,0.059248975,0.091671779,0.181664568,0.078105324,0.063021321,0.055406671,0.050918601,0.050052199,0.051596655,0.050967034,0.046694219,0,0.02416777,0.017516386,0.012430984,0.01514858,0.510708943,0.489291057,0.427017748,0.419779794,0.025685319,0.02565303,0.00199111,0.001770473,0.044988322,0,0.000328264,0.00027445,0.01069818,0,0.846797542,0.051338349,0.003761583,0.000602714,0.01069818,0.333193417,0
18159,7510,11.6,40.5,28.5,19.4,4,15267,0,0,138,295,0,0,0,86,0,0,21,0,99,81,7,0,0,55008,26350,13.3,9.5,4.443296306,8.922363847,15936,6998,260.57,0.03,260.54,61.2,26.9,15267,0.044082007,0.055217135,0.055217135,0.06871029,0.056396149,0.049846073,0.047488046,0.053514115,0.062356717,0.070740814,0.077552892,0.078535403,0.069627301,0,0.051025087,0.034322395,0.022335757,0.027706819,0.498788236,0.501211764,0.486867099,0.49132115,0.003144036,0.001899522,0.001506517,0.001441017,0.002227026,0,0.000196502,0.000196502,0.004847056,0,0.978188249,0.005043558,0.002947534,0.000393005,0.004847056,0.491910657,0
18161,3286,12,42.6,26.8,18.6,4.4,7182,0,0,139,271,0,0,0,143,0,0,35,0,37,54,0,0,0,47410,21805,21.7,13.8,4.567901235,7.674552799,7516,3239,165.18,3.95,161.22,46.6,20.1,7182,0.044416597,0.054302423,0.054302423,0.072960178,0.062795879,0.049568365,0.05165692,0.056390977,0.062656642,0.0737956,0.082428293,0.074770259,0.067390699,0,0.042049568,0.028265107,0.019771651,0.021303258,0.492481203,0.507518797,0.48064606,0.491645781,0.00278474,0.004316346,0.001949318,0.001531607,0.000835422,0,0.000139237,0.000417711,0.006126427,0,0.972291841,0.007101086,0.003480925,0.000556948,0.006126427,0.457532721,0
18163,71957,10.1,34.5,31.3,24.2,4.2,181877,0,0,323,361,0,0,1,117,4,0,135,8,10,76,18,2,0,42622,24426,25.4,17.7,8.424710336,12.9403362,179703,83003,236.33,2.85,233.48,769.7,355.5,181877,0.06259725,0.061860488,0.061860488,0.063724385,0.072834938,0.07731049,0.067644617,0.059248833,0.055328601,0.057676342,0.068513336,0.073912589,0.064422659,0,0.03418794,0.027056747,0.020497369,0.023686337,0.483178192,0.516821808,0.4173095,0.445548365,0.046102586,0.048703245,0.001550498,0.001253594,0.005839111,0,0.000489342,0.000709271,0.011887155,0,0.862857865,0.09480583,0.002804093,0.001198612,0.011887155,0.395635512,0
